Type,ItemName,Rank,Affinity,AP,PrimaryEffect,Description,Gold_value,Affinity_Image,Main_Image,Rarity
Equipment,Ritual Dagger,1,Blood,1,If you deal damage to an enemy  regain 1 LE.,"A crude, but unnervingly sharp dagger, its blade always seems to shimmer with a faint, dark crimson.",5,Blood.png,Blood1.jpg,Common
Equipment,Potion of Frenzy,2,Blood,1,Use: Gain +2 AT for your next combat stage.,"A thick, red potion that bubbles ominously. Its scent invigorates and infuriates.",8,Blood.png,Blood2.jpg,Common
Equipment,Sanguine Shroud,3,Blood,1,When you suffer damage  if it's 1 or less  gain +1 LE.,"A lightweight cloak woven from dark, almost leathery fabric. It feels strangely warm, almost alive.",10,Blood.png,Blood3.jpg,Common
Equipment,Bloodied Bandages,4,Blood,1,Use: Restore 3 LE. If you have any 'Bleed' status  remove it.,"Grimy bandages soaked in dried blood, paradoxically effective at staunching wounds.",12,Blood.png,Blood4.jpg,Un-Common
Equipment,Bloodied Gauntlets,5,Blood,1,When you inflict a critical hit  gain 1 LE.,"Heavy gauntlets caked with dried, dark blood that never seems to wash away.",15,Blood.png,Blood5.jpg,Un-Common
Equipment,Leeching Blade,6,Blood,1,After dealing damage  if the target has any status effect restore 1 LE.,"A slender, curved blade that seems to drain vitality from those it cuts, leaving them weak.",22,Blood.png,Blood6.jpg,Rare
Equipment,Crimson Heart Amulet,7,Blood,1,Once per combat  when you are reduced to 0 LE  instead set your LE to 1. Then  remove 1 Corruption token.,"A pulsating, crimson gem suspended from a blackened chain. It throbs with a dark, vital energy.",30,Blood.png,Blood7.jpg,Rare
Equipment,Visceral Cuirass,8,Blood,2,When you suffer damage  inflict 1 'Bleed' status token on the attacker.,"A chest plate made of hardened, grotesque membranes, pulsing faintly as if still alive.",40,Blood.png,Blood8.jpg,Ultra-Rare
Equipment,Gore-Forged Cleaver,9,Blood,2,When you defeat a Threat  gain 1 temporary Max LE until the end of the current level.,"A monstrous blade, hammered into shape over an altar of sacrifice. Its edge drinks deep.",45,Blood.png,Blood9.jpg,Ultra-Rare
Equipment,Sanguine Effigy,10,Blood,2,Once per combat  you may inflict 1 'Bleed' on yourself to gain +2 AT for the current stage.,"A small, unsettling idol carved from congealed blood, radiating a raw, dangerous power.",55,Blood.png,Blood10.jpg,Legendary
