Rank,Card_Name,Type,Affinity,Description,Affinity_Image,Main_Image,Image
1,Flesh-Worn Path,Discovery,Blood,"A narrow, slick path, stained crimson as if perpetually wept upon. It winds into the gloom, promising faster passage... or a bloody end. Resolve: Non Aligned Affinities suffer 1 LE, immediately draw and resolve an additional Exploration card.",Blood.png,Flesh Worn Path.jpg,https://i.imgur.com/2Ll7JwW.jpeg
2,Blood-Matted Den,Minor Threat,Blood,"The lair of a scavenger beast, recently fed. Bones are scattered, and the stench of iron hangs heavy in the air. Resolve: Engage a Minor Threat with Blood Affinity. If victorious, draw 1 Loot Card.",Blood.png,Blood Matted Den.jpg,https://i.imgur.com/1oEJRgg.jpeg
3,Sanguine Altar,Discovery/Event,Blood,"A crude, blood-stained stone altar lies amidst ancient ruins. A faint warmth emanates from its surface, whispering promises of strength through sacrifice. Resolve: You may gain +1 LE. If you do, roll D6. On a 1-2, suffer 1 permanent LE (reduce Max LE). On a 3-6, gain 1 Gold.",Blood.png,Sangiune Altar.jpg,https://i.imgur.com/iqtW8H7.jpeg
4,Rage-Filled Cavern,Hazard/Event,Blood,"The air in this chamber crackles with untamed fury, driving sane minds to madness. Echoes of primal screams linger. Resolve: Make a Strength check. Fail: Go Berserk gain +1 AT until the end of the next combat round.",Blood.png,Rage Filled Cavern.jpg,https://i.imgur.com/dgw8NkM.jpeg
5,Heartbeat Passage,Discovery,Blood,"A pulsing, vein-like tunnel, warm and moist. Every beat resonates through the stone, hinting at something vast and ancient below. Resolve: Gain 2 Gold. If your character has Blood Affinity, gain an additional 1 Gold.",Blood.png,Heartbeat Passage.jpg,https://i.imgur.com/Wv4qYsC.jpeg
1,Chamber of Whispers,Discovery/Event,Bone,"A cold, silent chamber where faint, mournful sighs seem to echo from unseen walls. The air prickles with forgotten sorrows. Resolve: If you have Bone Affinity, gain a temporary Shield absorb 1 LE . Otherwise, nothing happens.",Bone.png,Chamber of Whispers.jpg,
2,Ossuary Spire,Discovery,Bone,"A towering structure crafted entirely from calcified remains, humming with a morbid resonance. Skeletal fragments litter its base. Resolve: Gain 10 Gold.",Bone.png,Ossuary Spire.jpg,
3,Grim Stature,Hazard/Event,Bone,"A chilling aura of despair fills the air, attempting to drain your will. You feel an ancient, crushing weight. Resolve: Make a Strength check. Fail: Suffer +1 Doubt. Success: Gain +1 AT bonus for your next combat.",Bone.png,Grim Stature.jpg,
4,Blighted Barrow,Minor Threat,Bone,"A desecrated burial mound. Something unholy stirs within, reanimating the forgotten dead. Resolve: Engage a Minor Threat with Bone Affinity. If victorious, you may discard 1 Doubt/Corruption.",Bone.png,Blighted Barrow.jpg,
5,Petrified Bloom,Discovery/Loot,Bone,"In a secluded alcove, a delicate, yet unnervingly hard flower stands, its petals like polished bone. Resolve: Gain 1 Bone-aligned Equipment Card",Bone.png,Petrified Bloom.jpg,
1,Whispering Passage,Discovery/Event,Shadow,"A narrow, dark corridor where the very air seems to hum with secrets, and unseen eyes watch your every move. Resolve: If you have Shadow Affinity, gain 10 Gold. Otherwise, nothing happens.",Shadow.png,Whsipering Passage.jpg,
2,Flickering Gloom,Hazard,Shadow,"Shadows dance and stretch, disorienting your senses. The darkness itself seems to press in, seeking to consume. Resolve: Make an Agility check. Fail: Lose 1 AP on your next turn.",Shadow.png,Flickering Gloom.jpg,
3,Forgotten Cache,Discovery/Loot,Shadow,"Hidden just out of sight, a small, forgotten recess contains a few items left by a previous, unfortunate explorer. Resolve: Gain 1 Equipment Card. If the card is Shadow-aligned, you may draw an additional Card. ",Shadow.png,Forgotten Cache.jpg,
4,Stifling Dark,Hazard/Event,Shadow,"The darkness here is absolute, suffocating. It fills your mind with irrational fears and whispers of despair. Resolve: All players in this area suffer 1 Doubt token.",Shadow.png,Stifling Dark.jpg,
5,Veil of Illusion,Hazard/Event,Shadow,"The world around you shifts and distorts, the boundaries between reality and nightmare blurring. Figures dance at the edge of your vision. Resolve: Agility check. Success: You navigate the illusion safely. Fail: Suffer +1 Corruption.",Shadow.png,Veil of Illusion.jpg,
1,Cold Stone Corridor,Discovery,Iron,"A utilitarian passage of rough-hewn stone, built for endurance, not comfort. The air is still and heavy. Resolve: Gain 1 AT bonus for your next combat. ",Iron.png,Cold Stone Corridor.jpg,
2,Iron Barred Grate,Obstacle,Iron,"A heavily reinforced iron grate, rusted but unyielding, blocks a side passage. It rattles ominously. Resolve: Spend 2 AP or discard 1 Iron-aligned card from hand to open. Success: Gain 10 Gold. Fail: Nothing happens.",Iron.png,Iron Barred Gate.jpg,
3,Collapsing Pillar,Hazard/Event,Iron,"An ancient stone pillar, cracked and groaning, threatens to give way. Its collapse could trap you or create a new path. Resolve: Make a Strength check. Fail: Suffer 2 LE. Success: Nothing happens.",Iron.png,Collapsing Pillar.jpg,
4,Rusted Gauntlet,Discovery/Loot,Iron,"Amidst the rubble, a single, heavy gauntlet lies half-buried, its metal corroded but still formidable. Resolve: Gain 1 Equipment Card. If it's Iron-aligned, you may add 1 AP.",Iron.png,Rusted Gauntlet.jpg,
5,Gears of Ruin,Puzzle/Hazard,Iron,"A chamber filled with dormant, giant gears and levers, hinting at a forgotten mechanism. Tampering could yield results or disaster. Resolve: Agility check. Success: You recover 1 Equipment Card. Fail: Suffer 1 LE. ",Iron.png,Gears of Ruin.jpg,
1,Spore-Choked Passage,Hazard/Event,Wild,"A narrow, damp corridor where luminescent fungal spores drift. Breathing them in causes a light-headed disorientation. Resolve: Make an Agility check. Fail: You become Dizzy, lose 1 AP.",Nature.png,Spore-Choked Passage.jpg,
2,Overgrown Path,Discovery,Wild,"A winding, choked path overgrown with strangely aggressive flora and gnarled roots. Resolve: If you have Wild Affinity, Reduce Doubt by 1.",Nature.png,Overgrown Path.jpg,
3,Murmuring Waters,Discovery/Resource,Wild,"A small, subterranean spring burbles softly, its waters pure but unsettlingly cold. It seems to pulse with a primal energy. Resolve: Restore 1 LE. If you have Wild Affinity, also gain 10 Gold.",Nature.png,Murmuring Waters.jpg,
4,Thorn-Laced Gauntlet,Obstacle/Hazard,Wild,"A section of the dungeon where thorny, whip-like vines have erupted from the walls, making passage perilous. Resolve: You may attempt to force through. Perform a Strength Check, failure Suffer 1 LE. If no LE is taken, draw 1 Equipment Card",Nature.png,Thorn Laced Gauntlet.jpg,
5,Feral Guardian,Minor Threat,Wild,"A creature of pure, untamed primal fury emerges from the twisted vegetation, defending its territory with savage instinct. Resolve: Engage a Minor Threat with Wild Affinity. If victorious, draw 1 Nature-aligned Equipment Card.",Nature.png,Feral Guardian.jpg,
6,Ritualistic Scars,Event/Hazard,Blood,"Deep, ancient carvings depicting blood sacrifices adorn the walls, still glistening faintly. Stepping too close can awaken dormant energies. Resolve: Randomly choose one equipped item and discard. You may gain 1 Blood-aligned Equipment Card if Aligned. ",Blood.png,Ritualistic Scars.jpg,https://i.imgur.com/Ci5KkeS.jpeg
