Affinity,Quest_Name,Quest,Bonuses,Required,Required2,Quest_Image,Affinity_Image,AppImage,Stature,Equip,Threat,QP
Blood,The Sanguine Feast,"Among the cursed lands described in the Grim Hand chronicles, 'The Sanguine Feast' stands as a trial of endurance and will. A monstrous cult demands tribute, their rituals draining the life from the land. You must disrupt their blood-soaked ceremony. The air is thick with dread, and only those marked by shadow may prevail.",**Success** Gain +1 LE permanently. Failure: Lose 2 LE and gain 1 Doubt,Blood10.jpg,The Sanguine Horror.jpg,Bloodquest1.jpg,Blood.png,https://i.imgur.com/CHdz1Fx.jpeg,Legend,Sangiune Effigy,The Sanguine Horror,25
Blood,Crimson Reclamation,"From the depths of the Grim Hand archives, the tale of 'Crimson Reclamation' emerges — a grim endeavor where A forgotten battlefield bleeds corruption into the earth. Purify the tainted ground before it consumes all life. The path is lined with peril, and the outcome may reshape the fate of the afflicted lands.",**Success:** Gain 1 temporary Strength for the next 2 Combat encounters. **Failure:** All players start the next Combat with 1 less Action Point.,Blood7.jpg,Maddened Beast.jpg,Bloodquest2.jpg,Blood.png,https://i.imgur.com/Su4cnp4.jpeg,Adept,Crimson Heart Amulet,Maddened Beast,10
Blood,The Heart's Echo,"Within the annals of the Grim Hand, 'The Heart's Echo' is etched as a test of resolve. A lost relic, said to beat with a dark, ancient pulse, calls to you from a desecrated crypt. Claim it. The terrain is unforgiving, and the enemies are not merely beasts — they are remnants of a broken world.",**Success:** Gain 5 Gold. **Failure:** Lose 1 Agility temporarily for the next Exploration.,Blood9.jpg,Blood Matron.jpg,Bloodquest3.jpg,Blood.png,https://i.imgur.com/KwcLJ8X.jpeg,Master,Gore Forged Cleaver,Blood Matron,20
Blood,Veins of the Earth,"From the depths of the Grim Hand archives, the tale of 'Veins of the Earth' emerges — a grim endeavor where A vital resource vein has been choked by a parasitic growth. Clear the infestation to restore the flow. The path is lined with peril, and the outcome may reshape the fate of the afflicted lands.",**Success:** Restore 2 LE. **Failure:** All players lose 1 LE.,Blood8.jpg,Blood Golem.jpg,Bloodquest4.jpg,Blood.png,https://i.imgur.com/JkuKkiS.jpeg,Veteran,Visceral Cuirass,Blood Golem,15
Blood,Blood Debt Repaid,"Within the annals of the Grim Hand, 'Blood Debt Repaid' is etched as a test of resolve. A powerful, ancient entity demands a sacrifice of blood for a past transgression. Confront it or pay the price. The terrain is unforgiving, and the enemies are not merely beasts — they are remnants of a broken world.",**Success:** Gain 1 XP. **Failure:** Gain 1 Corruption.,Blood6.jpg,Crimson Blightcaller.jpg,Bloodquest5.jpg,Blood.png,https://i.imgur.com/oQyrFMW.jpeg,Novice,Leeching Blade,Crimson Blightcaller,5
Bone,The Ossuary's Silence,"Within the annals of the Grim Hand, 'The Ossuary's Silence' is etched as a test of resolve. A restless spirit haunts an ancient ossuary, its moans driving living creatures to madness. Lay it to rest. The terrain is unforgiving, and the enemies are not merely beasts — they are remnants of a broken world.",**Success:** Gain +1 Agility permanently. **Failure:** Lose 1 Action Point for the next Combat encounter.,Bone6.jpg,Wight.jpg,Bonequest1.jpg,Bone.png,https://i.imgur.com/ILVhS5p.jpeg,Novice,Necoritc Charm,Wight,5
Bone,Echoes of the Fallen,"Within the annals of the Grim Hand, 'Echoes of the Fallen' is etched as a test of resolve. Recover the scattered remains of a legendary warrior to grant them final peace and learn their wisdom. The terrain is unforgiving, and the enemies are not merely beasts — they are remnants of a broken world.",**Success:** Gain 1 temporary Defense (reduce damage taken by 1) for the next 2 Combat encounters. **Failure:** All players lose 1 XP.,Bone9.jpg,Grave Colossus.jpg,Bonequest2.jpg,Bone.png,https://i.imgur.com/WMDt1du.jpeg,Master,Soul Woven Ring,Grave Colossus,20
Bone,The Sculpted Grave,"From the depths of the Grim Hand archives, the tale of 'The Sculpted Grave' emerges — a grim endeavor where A mad necromancer seeks to animate a colossal bone construct. Destroy their workshop and dismantle their creation. The path is lined with peril, and the outcome may reshape the fate of the afflicted lands.",**Success:** Gain 8 Gold. **Failure:** Gain 1 Doubt.,Bone10.jpg,The Ossuary Lich.jpg,Bonesquest3.jpg,Bone.png,https://i.imgur.com/ASAntJs.jpeg,Legend,Deathspeaker Staff,The Ossuary Lich,25
Bone,Marrow Harvest,"Bound by the decrees of the Grim Hand, the quest 'Marrow Harvest' beckons the brave. A blight is consuming the bones of the dead, threatening to erase all memory of the past. Stop its spread. Yet beneath its surface lies a web of corruption, betrayal, and the echoes of long-dead warriors.",**Success:** Restore 1 Strength. **Failure:** All players have their maximum hand size for poker reduced by 1 for the next Combat.,Bone7.jpg,Ghoul Pack Leader.jpg,Bonequest4.jpg,Bone.png,https://i.imgur.com/wg88IXp.jpeg,Adept,Ossuary Plate,Ghoul Pack Leader,10
Bone,The Silent Watch,"Among the cursed lands described in the Grim Hand chronicles, 'The Silent Watch' stands as a trial of endurance and will. Guard an ancient boneyard from scavengers and desecrators who seek to exploit its grim power. The air is thick with dread, and only those marked by shadow may prevail.",**Success:** Gain 1 XP. **Failure:** Lose 2 Gold.,Bone8.jpg,Wight Lord.jpg,Bonequest5.jpg,Bone.png,https://i.imgur.com/dKIXo82.jpeg,Veteran,Bone Carapace Shield,Wight Lord,15
