Name,Rank,Affinity,Sub-Type,LF,Hand_1,Hand_2,Special_Ability,Description,Main_Image,Affinity_Image,LF_Image,H_1_Image,H_2_Image,Image
Bloodworm Larva,1,Blood,Minor (Verminous),3,2,3,"Draining Bite: If this foe deals damage, the player loses  1 Strength","A small, pale worm, swollen with dark energies, seeking a fresh host to feed upon.",Bloodworm Larva.jpg,Blood.png,suit_hearts.webp,card_diagonal.png,card_diagonal.png,https://i.imgur.com/aVKufI0.jpeg
Flesh Gourger,2,Blood,Minor (Beast),4,3,4,"Unsettling Presence: At the start of combat, gain 1 Doubt token.","A hunched, gaunt creature with impossibly long claws, perpetually hungry for fresh meat and vital essence.",Flesh Gourger.jpg,Blood.png,suit_hearts.webp,card_diagonal.png,card_diagonal.png,https://i.imgur.com/O7SyFLg.jpeg
Bloodsoaked Cultist,3,Blood,Minor (Humanoid),5,6,8,"Fanatical Sacrifice: When this foe is defeated, you lose 1 LE from residual arcane feedback.","A robed fanatic, their eyes blazing with unholy fervor, ready to spill blood in service to dark powers.",Bloodsoaked Cultist.jpg,Blood.png,suit_hearts.webp,card_diagonal.png,card_diagonal.png,https://i.imgur.com/URlQU8K.jpeg
Reeking Bloat,4,Blood,Minor (Abomination),6,5,5,"Corrupting Aura: At the end of each combat stage, gain 1 Corruption token.","A putrid, pulsating mass of diseased flesh and matted hair, exuding a nauseating stench and spreading foulness.",Reeking Bloat.jpg,Blood.png,suit_hearts.webp,card_diagonal.png,card_diagonal.png,https://i.imgur.com/3vEuFxe.jpeg
Sanguine Hound,5,Blood,Minor (Beast),7,7,6,"Relentless Pursuit: If the player attempts to Retreat from this foe, they automatically suffer -2 LE before the Retreat check.","A lean, powerful hound whose fur is perpetually damp with blood, its eyes glowing with predatory malice.",Sanguine Hound.jpg,Blood.png,suit_hearts.webp,card_diagonal.png,card_diagonal.png,https://i.imgur.com/i2gVM8A.jpeg
Scuttling Bones,1,Bone,Minor (Undead),4,2,1,"Brittle Defenses: If this foe suffers 3 or more damage in a single stage, it gains +1 AT for the remainder of combat.","A small, chittering pile of animated bones, moving with surprising speed.",Scuttling Bones.jpg,Bone.png,suit_hearts.webp,card_diagonal.png,card_diagonal.png,https://i.imgur.com/a9sJHcW.jpeg
Restless Cadaver,2,Bone,Minor (Undead),4,3,5,"Unyielding Hunger: After this foe takes damage, if its LF is still above 0, it gains +1 AT for the next combat stage.","A reanimated corpse, its flesh rotted and its bones creaking, driven by a mindless, insatiable need.",Restless Cadaver.jpg,Bone.png,suit_hearts.webp,card_diagonal.png,card_diagonal.png,https://i.imgur.com/U7CQsla.jpeg
Skeletal Archer,3,Bone,Minor (Undead),5,4,6,Precise Shot: Ignores 1 point of player's AT bonus.,"An animated skeleton, wielding a crude bow with surprising accuracy, its empty eye sockets fixed on its target.",Skeletal Archer.jpg,Bone.png,suit_hearts.webp,card_diagonal.png,card_diagonal.png,https://i.imgur.com/FgoNYPm.jpeg
Grave Gast,4,Bone,Minor (Undead),6,5,4,"Soul Chill: At the end of each combat stage, if you were damaged by this foe, gain 1 Doubt token.","A gaunt, spectral figure, its touch leaving an icy dread and its cries chilling the soul.",Grave Gast.jpg,Bone.png,suit_hearts.webp,card_diagonal.png,card_diagonal.png,https://i.imgur.com/fsTnuDf.jpeg
Bone Construct,5,Bone,Minor (Construct),7,6,6,Imposing Presence: This foe deals 1 additional damage for every 2 points it exceeds the player's AT in combat.,"A crudely assembled automaton of oversized bones, held together by dark magic and simple joints, built for brute force.",Bone Construct.jpg,Bone.png,suit_hearts.webp,card_diagonal.png,card_diagonal.png,https://i.imgur.com/O27WyvX.jpeg
Shade Spawn,1,Shadow,Minor (Spirit),3,1,2,Elusive: Player's first attack in combat against this foe has a -1 AT penalty.,"A fleeting wisp of shadow, born of the dungeon's gloom, barely discernible until it strikes.",Shade Spawn.jpg,Shadow.png,suit_hearts.webp,card_diagonal.png,card_diagonal.png,https://i.imgur.com/Uu6MohW.jpeg
